Country/Region,Timestamp,Confirmed_cases
France,04/01/2020,51
France,04/02/2020,51
France,04/03/2020,57
France,04/04/2020,61
France,04/05/2020,61
France,04/06/2020,72
France,04/07/2020,72
France,04/08/2020,77
France,04/09/2020,83
France,04/10/2020,83
France,04/11/2020,83
France,04/12/2020,86
France,4/13/20,86
France,4/14/20,86
France,4/15/20,86
France,4/16/20,86
France,4/17/20,96
France,4/18/20,96
France,4/19/20,86
France,4/20/20,97
France,4/21/20,97
France,4/22/20,97
France,4/23/20,107
France,4/24/20,111
France,4/25/20,111
France,4/26/20,111
France,4/27/20,111
France,4/28/20,125
France,4/29/20,125
France,4/30/20,126
France,05/01/2020,128
Italy,04/01/2020,110574
Italy,04/02/2020,115242
Italy,04/03/2020,119827
Italy,04/04/2020,124632
Italy,04/05/2020,128948
Italy,04/06/2020,132547
Italy,04/07/2020,135586
Italy,04/08/2020,139422
Italy,04/09/2020,143626
Italy,04/10/2020,147577
Italy,04/11/2020,152271
Italy,04/12/2020,156363
Italy,4/13/20,159516
Italy,4/14/20,162488
Italy,4/15/20,165155
Italy,4/16/20,168941
Italy,4/17/20,172434
Italy,4/18/20,175925
Italy,4/19/20,179872
Italy,4/20/20,181228
Italy,4/21/20,183957
Italy,4/22/20,187327
Italy,4/23/20,189973
Italy,4/24/20,192994
Italy,4/25/20,195351
Italy,4/26/20,197675
Italy,4/27/20,199414
Italy,4/28/20,201505
Italy,4/29/20,203591
Italy,4/30/20,205463
Italy,05/01/2020,207428
France,04/01/2020,37
France,04/02/2020,37
France,04/03/2020,39
France,04/04/2020,40
France,04/05/2020,41
France,04/06/2020,42
France,04/07/2020,47
France,04/08/2020,51
France,04/09/2020,51
France,04/10/2020,51
France,04/11/2020,51
France,04/12/2020,53
France,4/13/20,55
France,4/14/20,55
France,4/15/20,55
France,4/16/20,55
France,4/17/20,55
France,4/18/20,55
France,4/19/20,55
France,4/20/20,56
France,4/21/20,56
France,4/22/20,57
France,4/23/20,57
France,4/24/20,57
France,4/25/20,57
France,4/26/20,57
France,4/27/20,57
France,4/28/20,58
France,4/29/20,58
France,4/30/20,58
France,05/01/2020,58
France,04/01/2020,125
France,04/02/2020,128
France,04/03/2020,130
France,04/04/2020,134
France,04/05/2020,135
France,04/06/2020,135
France,04/07/2020,139
France,04/08/2020,141
France,04/09/2020,141
France,04/10/2020,143
France,04/11/2020,143
France,04/12/2020,143
France,4/13/20,143
France,4/14/20,145
France,4/15/20,145
France,4/16/20,145
France,4/17/20,145
France,4/18/20,148
France,4/19/20,148
France,4/20/20,148
France,4/21/20,148
France,4/22/20,148
France,4/23/20,148
France,4/24/20,148
France,4/25/20,149
France,4/26/20,149
France,4/27/20,149
France,4/28/20,149
France,4/29/20,149
France,4/30/20,149
France,05/01/2020,151
France,04/01/2020,94
France,04/02/2020,116
France,04/03/2020,128
France,04/04/2020,134
France,04/05/2020,147
France,04/06/2020,147
France,04/07/2020,171
France,04/08/2020,171
France,04/09/2020,184
France,04/10/2020,191
France,04/11/2020,196
France,04/12/2020,196
France,4/13/20,207
France,4/14/20,217
France,4/15/20,217
France,4/16/20,233
France,4/17/20,245
France,4/18/20,254
France,4/19/20,271
France,4/20/20,271
France,4/21/20,311
France,4/22/20,326
France,4/23/20,326
France,4/24/20,354
France,4/25/20,380
France,4/26/20,401
France,4/27/20,401
France,4/28/20,460
France,4/29/20,460
France,4/30/20,539
France,05/01/2020,539
US,04/01/2020,213242
US,04/02/2020,243622
